year,gu_name,resident_population
2022,종로구,152211
2022,중구,130785
2022,용산구,233284
2022,성동구,288234
2022,광진구,351252
2022,동대문구,353601
2022,중랑구,390140
2022,성북구,441984
2022,강북구,297702
2022,도봉구,313989
2022,노원구,508014
2022,은평구,470602
2022,서대문구,319554
2022,마포구,375585
2022,양천구,444010
2022,강서구,574638
2022,구로구,418418
2022,금천구,242818
2022,영등포구,398085
2022,동작구,390432
2022,관악구,501226
2022,서초구,408451
2022,강남구,534103
2022,송파구,664514
2022,강동구,464037
2023,종로구,150453
2023,중구,131793
2023,용산구,227106
2023,성동구,284766
2023,광진구,351180
2023,동대문구,359873
2023,중랑구,387470
2023,성북구,438168
2023,강북구,292977
2023,도봉구,309494
2023,노원구,502925
2023,은평구,470869
2023,서대문구,320629
2023,마포구,375162
2023,양천구,439252
2023,강서구,568826
2023,구로구,415651
2023,금천구,241105
2023,영등포구,397800
2023,동작구,389714
2023,관악구,497883
2023,서초구,412078
2023,강남구,550282
2023,송파구,660025
2023,강동구,463318
2024,종로구,149608
2024,중구,131214
2024,용산구,217194
2024,성동구,281289
2024,광진구,348652
2024,동대문구,358603
2024,중랑구,385349
2024,성북구,435037
2024,강북구,289374
2024,도봉구,306032
2024,노원구,496552
2024,은평구,465350
2024,서대문구,318622
2024,마포구,372745
2024,양천구,434351
2024,강서구,562194
2024,구로구,411916
2024,금천구,239070
2024,영등포구,397173
2024,동작구,387352
2024,관악구,495620
2024,서초구,413076
2024,강남구,563215
2024,송파구,656310
2024,강동구,481474
